name,credit,personal,corp
(사)함께만드는세상,1,0,0
(사)한국마이크로크레디트신나는조합,1,0,0
(사)포스코미소금융재단,1,1,0
(사)케이비미소금융재단,1,1,1
(사)우리미소금융재단,1,1,0
(사)에스케이미소금융재단,1,1,1
(사)아이비케이미소금융재단,1,1,0
(사)신한미소금융재단,1,1,1
(사)삼성미소금융재단,1,1,0
(사)민생경제정책연구소,1,0,0
(사)미소금융충북청주법인,1,0,0
(사)미소금융충남천안법인,1,0,0
(사)미소금융전북전주법인,1,0,0
(사)미소금융전북익산법인,1,0,0
(사)미소금융인천서구법인,1,0,0
(사)미소금융서울은평구법인,1,0,0
(사)미소금융서울성북구법인,1,0,0
(사)미소금융서울노원구법인,1,0,0
(사)미소금융서울관악구법인,1,0,0
(사)미소금융부산중구법인,1,0,0
(사)미소금융부산수영구법인,1,0,0
(사)미소금융동작법인,1,0,0
(사)미소금융대전유성구법인,1,0,0
(사)미소금융대구중구법인,1,0,0
(사)미소금융대구서구법인,1,0,0
(사)미소금융광주북구법인,1,0,0
(사)미소금융경북안동법인,1,0,0
(사)미소금융경북경주법인,1,0,0
(사)미소금융경남거제법인,1,0,0
(사)미소금융경기화성법인,1,0,0
(사)미소금융경기하남법인,1,0,0
(사)미소금융경기의정부법인,1,0,0
(사)미소금융경기성남법인,1,0,0
(사)미소금융경기동두천법인,1,0,0
(사)미소금융경기구리법인,1,0,0
(사)미소금융강원태백법인,1,0,0
(사)미소금융강원춘천법인,1,0,0
(사)롯데미소금융재단,1,1,0
(사)더불어사는사람들,1,0,0
(사)나눔과기쁨,1,0,0
(사)기업과공동체,1,0,0
희즈에셋대부금융(주),1,0,0
희망플러스대부금융(주),1,0,0
희망1자산대부관리(유),1,0,0
휴렛팩커드파이낸셜서비스대부(유),1,0,0
황금벽돌대부(주),1,0,0
화인자산대부(주),1,0,0
화인에셋대부(주),1,0,0
홈앤웍스대부(유),1,0,0
호연한국엔피엘투자대부(유),1,0,0
호야에셋대부(주),1,0,0
현진투자대부(주),1,0,0
현대에프앤아이대부금융(주),1,0,0
헬프에셋투자대부(주),1,0,0
헤럴드자산관리대부(주),1,0,0
헐미스매니지먼트컨설팅대부(유),1,0,0
허브에프앤아이대부(주),1,0,0
행복한펀딩대부(주),1,0,0
행복자산대부(주),1,0,0
행복드림금융대부(주),1,0,0
햇살엔피엘대부(주),1,0,0
해진에셋대부(유),1,0,0
해조솔루션대부(주),1,0,0
해인대부(주),1,0,0
해오름대부(주),1,0,0
해밀자산관리대부(유),1,0,0
해담대부(주),1,0,0
한창금융대부(주),1,0,0
한진자산관리대부(주),1,0,0
한주자산관리대부(주),1,0,0
한울대부자산관리(주),1,0,0
한울경매자산관리대부(유),1,0,0
한서자산대부(주),1,0,0
한서디엔씨대부(주),1,0,0
한살림대부금융(주),1,0,0
한빛글로벌대부(주),1,0,0
한별에셋대부(주),1,0,0
한밭자산관리대부(주),1,0,0
한미파트너스대부(유),1,0,0
한미자산대부업(주),1,0,0
한미에프앤아이대부(주),1,0,0
한맥대부(주),1,0,0
한림대부개발(주),1,0,0
한나투자대부(주),1,0,0
한국홀딩스대부(주),1,0,0
한국팜대부(주),1,0,0
한국저당권거래대부(주),1,0,0
한국자산대부(주),1,0,0
한국자산관리원대부(주),1,0,0
한국연합자산대부(유),1,0,0
한국에셋채권대부(주),1,0,0
한국아이비엠글로벌파이낸싱대부(유),1,0,0
한국아이비엠(주),1,0,0
한국산업대부(주),1,0,0
